pred_protein_set,go_id,go_term,p_value,annotated_gene_of_term
YJR075W YGL022W YGL027C YOR085W YMR149W YOR067C YAL023C YDR414C YNL219C YEL002C YGR227W YNR030W YJL002C YBL082C YDR245W YPL227C YML019W YDL095W YJL183W YGL226C-A YOR002W YOR103C,GO:0006486,protein glycosylation,2.64E-42,YML019W YJL002C YOR002W YDR245W YBL082C YEL002C YGR227W YDL095W YOR067C YAL023C YJL183W YOR085W YGL027C YGL226C-A YMR149W YOR103C YDR414C YNL219C YGL022W YJR075W YPL227C YNR030W
YGL022W YOR085W YMR149W YOR067C YDR414C YEL036C YNL219C YEL002C YGR227W YNR030W YJL002C YBL082C YPL227C YDR245W YML019W YDL095W YJL183W YGL226C-A YOR002W YOR103C,GO:0006486,protein glycosylation,1.95E-38,YML019W YJL002C YOR002W YDR245W YBL082C YEL002C YGR227W YDL095W YOR067C YJL183W YOR085W YGL226C-A YMR149W YOR103C YDR414C YNL219C YEL036C YGL022W YPL227C YNR030W
YGL022W YOR085W YMR149W YOR067C YDL232W YDR414C YNL219C YBL017C YEL002C YGR227W YNR030W YJL002C YBL082C YDR245W YPL227C YML019W YDL095W YJL183W YGL226C-A YOR002W YOR103C,GO:0006486,protein glycosylation,3.89E-37,YML019W YJL002C YOR002W YDR245W YBL082C YEL002C YDL232W YGR227W YDL095W YOR067C YJL183W YOR085W YGL226C-A YMR149W YOR103C YDR414C YNL219C YGL022W YPL227C YNR030W
YEL002C YEL042W YOR085W YMR149W YER005W YOR067C YBR171W YLR292C YDR245W YPL227C YDR414C YEL036C YNL219C YJL183W YOR002W,GO:0006486,protein glycosylation,3.72E-22,YEL042W YMR149W YOR002W YNL219C YDR414C YDR245W YEL036C YEL002C YER005W YOR067C YPL227C YJL183W YOR085W
YCR034W YBR026C YHL048W YLR372W YKL055C YOR221C YMR207C YMR272C YJL196C YGR295C,GO:0006633,fatty acid biosynthetic process,9.84E-17,YMR272C YLR372W YOR221C YMR207C YCR034W YBR026C YKL055C YJL196C
YBL045C YDR322C-A YPR191W YDR529C YGL187C YFR033C YOR065W YJL045W YHR001W-A YGR183C,GO:0019646,aerobic electron transport chain,1.69E-15,YGR183C YJL045W YOR065W YFR033C YPR191W YDR529C YGL187C YHR001W-A
YBL064C YBR244W YML028W YDR453C YIR037W YKL026C YCL037C YLR109W,GO:0098869,cellular oxidant detoxification,1.12E-14,YBL064C YKL026C YBR244W YLR109W YML028W YIR037W YDR453C
Q0250 Q0275 YPL189C-A YGR112W YMR257C YIL157C YJL062W-A YLR203C Q0045 YML129C,GO:0008535,respiratory chain complex IV assembly,1.43E-13,YIL157C YML129C YMR257C YLR203C YJL062W-A YGR112W YPL189C-A
Q0275 YNR018W YBL045C YEL024W YGL187C YGL191W YJL166W Q0045 YML030W,GO:1902600,proton transmembrane transport,2.41E-13,YBL045C YEL024W YML030W Q0275 YNR018W YGL191W Q0045 YGL187C
YKL008C YHL003C YBR183W YMR298W YDL052C YPL087W,GO:0046513,ceramide biosynthetic process,5.81E-13,YKL008C YPL087W YMR298W YBR183W YHL003C
